strategy,P,workload,partitions_touched,rows_scanned,rows_matched,latency_ms
round_robin,4,W3,1,1213,1213,0.06065000000000001
round_robin,4,W3,1,1337,1337,0.06685
round_robin,4,W3,1,1286,1286,0.06430000000000001
round_robin,4,W3,1,2510,2510,0.1255
round_robin,4,W3,1,2583,2583,0.12915000000000001
round_robin,4,W3,1,1311,1311,0.06555
round_robin,4,W3,1,2607,2607,0.13035000000000002
round_robin,4,W3,1,1004,1004,0.0502
round_robin,4,W3,1,613,613,0.03065
round_robin,4,W3,1,644,644,0.0322
round_robin,4,W3,1,621,621,0.03105
round_robin,4,W3,1,662,662,0.033100000000000004
round_robin,4,W3,1,623,623,0.03115
round_robin,4,W3,1,630,630,0.0315
round_robin,4,W3,1,1054,1054,0.052700000000000004
round_robin,4,W3,1,852,852,0.0426
round_robin,4,W3,1,880,880,0.044000000000000004
round_robin,4,W3,1,627,627,0.03135
round_robin,4,W3,1,1186,1186,0.0593
round_robin,4,W3,1,439,439,0.02195
round_robin,4,W3,1,628,628,0.031400000000000004
round_robin,4,W3,1,484,484,0.0242
round_robin,4,W3,1,440,440,0.022000000000000002
round_robin,4,W3,1,464,464,0.023200000000000002
round_robin,4,W3,1,449,449,0.02245
round_robin,4,W3,1,495,495,0.02475
round_robin,4,W3,1,415,415,0.02075
round_robin,4,W3,1,442,442,0.0221
round_robin,4,W3,1,421,421,0.02105
round_robin,4,W3,1,416,416,0.0208
round_robin,4,W3,1,688,688,0.0344
round_robin,4,W3,1,1052,1052,0.05260000000000001
round_robin,4,W3,1,444,444,0.0222
round_robin,4,W3,1,445,445,0.022250000000000002
round_robin,4,W3,1,274,274,0.013700000000000002
round_robin,4,W3,1,471,471,0.02355
round_robin,4,W3,1,469,469,0.02345
round_robin,4,W3,1,421,421,0.02105
round_robin,4,W3,1,624,624,0.031200000000000002
round_robin,4,W3,1,641,641,0.03205
round_robin,4,W3,1,716,716,0.0358
round_robin,4,W3,1,462,462,0.023100000000000002
round_robin,4,W3,1,446,446,0.0223
round_robin,4,W3,1,640,640,0.032
round_robin,4,W3,1,1200,1200,0.06
round_robin,4,W3,1,450,450,0.022500000000000003
round_robin,4,W3,1,616,616,0.0308
round_robin,4,W3,1,431,431,0.02155
round_robin,4,W3,1,540,540,0.027000000000000003
round_robin,4,W3,1,459,459,0.02295
round_robin,4,W3,1,470,470,0.0235
round_robin,4,W3,1,484,484,0.0242
round_robin,4,W3,1,325,325,0.01625
round_robin,4,W3,1,529,529,0.02645
round_robin,4,W3,1,479,479,0.02395
round_robin,4,W3,1,293,293,0.01465
round_robin,4,W3,1,304,304,0.0152
round_robin,4,W3,1,502,502,0.0251
round_robin,4,W3,1,617,617,0.030850000000000002
round_robin,4,W3,1,283,283,0.01415
round_robin,4,W3,1,303,303,0.01515
