strategy,P,workload,partitions_touched,rows_scanned,rows_matched,latency_ms
range_pop,4,W3,1,5270,5270,0.2635
range_pop,4,W3,1,5273,5273,0.26365
range_pop,4,W3,1,5271,5271,0.26355
range_pop,4,W3,1,10499,10499,0.52495
range_pop,4,W3,1,10498,10498,0.5249
range_pop,4,W3,1,5191,5191,0.25955
range_pop,4,W3,1,10400,10400,0.52
range_pop,4,W3,1,3984,3984,0.19920000000000002
range_pop,4,W3,1,2517,2517,0.12585
range_pop,4,W3,1,2517,2517,0.12585
range_pop,4,W3,1,2512,2512,0.12560000000000002
range_pop,4,W3,1,2517,2517,0.12585
range_pop,4,W3,1,2517,2517,0.12585
range_pop,4,W3,1,2473,2473,0.12365
range_pop,4,W3,1,4188,4188,0.2094
range_pop,4,W3,1,3477,3477,0.17385
range_pop,4,W3,1,3477,3477,0.17385
range_pop,4,W3,1,2612,2612,0.13060000000000002
range_pop,4,W3,1,4815,4815,0.24075000000000002
range_pop,4,W3,1,1908,1908,0.0954
range_pop,4,W3,1,2605,2605,0.13025
range_pop,4,W3,1,1904,1904,0.0952
range_pop,4,W3,1,1734,1734,0.0867
range_pop,4,W3,1,1897,1897,0.09485
range_pop,4,W3,1,1863,1863,0.09315000000000001
range_pop,4,W3,1,1868,1868,0.09340000000000001
range_pop,4,W3,1,1734,1734,0.0867
range_pop,4,W3,1,1894,1894,0.0947
range_pop,4,W3,1,1734,1734,0.0867
range_pop,4,W3,1,1724,1724,0.0862
range_pop,4,W3,1,2570,2570,0.1285
range_pop,4,W3,1,4174,4174,0.20870000000000002
range_pop,4,W3,1,1813,1813,0.09065000000000001
range_pop,4,W3,1,1923,1923,0.09615000000000001
range_pop,4,W3,1,1045,1045,0.05225
range_pop,4,W3,1,1842,1842,0.09210000000000002
range_pop,4,W3,1,1842,1842,0.09210000000000002
range_pop,4,W3,1,1711,1711,0.08555000000000001
range_pop,4,W3,1,2488,2488,0.12440000000000001
range_pop,4,W3,1,2604,2604,0.1302
range_pop,4,W3,1,2738,2738,0.1369
range_pop,4,W3,1,1731,1731,0.08655000000000002
range_pop,4,W3,1,1842,1842,0.09210000000000002
range_pop,4,W3,1,2605,2605,0.13025
range_pop,4,W3,1,4818,4818,0.2409
range_pop,4,W3,1,1848,1848,0.09240000000000001
range_pop,4,W3,1,2487,2487,0.12435000000000002
range_pop,4,W3,1,1859,1859,0.09295
range_pop,4,W3,1,2005,2005,0.10025
range_pop,4,W3,1,1910,1910,0.0955
range_pop,4,W3,1,1887,1887,0.09435
range_pop,4,W3,1,1836,1836,0.0918
range_pop,4,W3,1,1306,1306,0.06530000000000001
range_pop,4,W3,1,2090,2090,0.1045
range_pop,4,W3,1,2090,2090,0.1045
range_pop,4,W3,1,1146,1146,0.0573
range_pop,4,W3,1,1146,1146,0.0573
range_pop,4,W3,1,2077,2077,0.10385
range_pop,4,W3,1,2456,2456,0.1228
range_pop,4,W3,1,1146,1146,0.0573
range_pop,4,W3,1,1283,1283,0.06415
range_pop,4,W3,1,5557,5557,0.27785000000000004
range_pop,4,W3,1,1140,1140,0.056999999999999995
range_pop,4,W3,1,5541,5541,0.27705
range_pop,4,W3,1,2353,2353,0.11765000000000002
range_pop,4,W3,1,1140,1140,0.056999999999999995
range_pop,4,W3,1,1198,1198,0.0599
range_pop,4,W3,1,1357,1357,0.06785000000000001
range_pop,4,W3,1,1422,1422,0.0711
range_pop,4,W3,1,1980,1980,0.099
range_pop,4,W3,1,1146,1146,0.0573
range_pop,4,W3,1,1140,1140,0.056999999999999995
range_pop,4,W3,1,1486,1486,0.0743
range_pop,4,W3,1,2467,2467,0.12335000000000002
range_pop,4,W3,1,1135,1135,0.05675
range_pop,4,W3,1,1140,1140,0.056999999999999995
range_pop,4,W3,1,2912,2912,0.1456
range_pop,4,W3,1,2489,2489,0.12445
range_pop,4,W3,1,1126,1126,0.056299999999999996
range_pop,4,W3,1,1352,1352,0.06760000000000001
range_pop,4,W3,1,2916,2916,0.1458
range_pop,4,W3,1,1713,1713,0.08565
range_pop,4,W3,1,2260,2260,0.11299999999999999
range_pop,4,W3,1,1422,1422,0.0711
range_pop,4,W3,1,2466,2466,0.12330000000000002
range_pop,4,W3,1,1056,1056,0.05280000000000001
range_pop,4,W3,1,3278,3278,0.16390000000000002
range_pop,4,W3,1,1035,1035,0.05175
range_pop,4,W3,1,1749,1749,0.08745000000000001
range_pop,4,W3,1,2820,2820,0.141
range_pop,4,W3,1,1056,1056,0.05280000000000001
range_pop,4,W3,1,1456,1456,0.0728
range_pop,4,W3,1,1365,1365,0.06825
range_pop,4,W3,1,1480,1480,0.074
range_pop,4,W3,1,1645,1645,0.08225
range_pop,4,W3,1,1420,1420,0.071
range_pop,4,W3,1,1355,1355,0.06775
range_pop,4,W3,1,1597,1597,0.07985
range_pop,4,W3,1,2808,2808,0.1404
range_pop,4,W3,1,2463,2463,0.12315000000000001
range_pop,4,W3,1,1167,1167,0.058350000000000006
range_pop,4,W3,1,1561,1561,0.07805000000000001
range_pop,4,W3,1,1119,1119,0.05595
range_pop,4,W3,1,1927,1927,0.09635
range_pop,4,W3,1,1087,1087,0.05435
range_pop,4,W3,1,849,849,0.04245
range_pop,4,W3,1,849,849,0.04245
range_pop,4,W3,1,861,861,0.043050000000000005
range_pop,4,W3,1,2371,2371,0.11855
range_pop,4,W3,1,1192,1192,0.0596
range_pop,4,W3,1,1728,1728,0.0864
range_pop,4,W3,1,936,936,0.04680000000000001
range_pop,4,W3,1,1646,1646,0.0823
range_pop,4,W3,1,848,848,0.0424
range_pop,4,W3,1,951,951,0.04755
range_pop,4,W3,1,951,951,0.04755
range_pop,4,W3,1,2666,2666,0.1333
range_pop,4,W3,1,1662,1662,0.08310000000000001
range_pop,4,W3,1,1709,1709,0.08545000000000001
range_pop,4,W3,1,936,936,0.04680000000000001
range_pop,4,W3,1,848,848,0.0424
range_pop,4,W3,1,923,923,0.046150000000000004
range_pop,4,W3,1,1730,1730,0.08650000000000001
range_pop,4,W3,1,1025,1025,0.05125
range_pop,4,W3,1,1849,1849,0.09245
range_pop,4,W3,1,1121,1121,0.05605
range_pop,4,W3,1,1052,1052,0.05260000000000001
range_pop,4,W3,1,1197,1197,0.05985000000000001
range_pop,4,W3,1,846,846,0.042300000000000004
range_pop,4,W3,1,943,943,0.04715
range_pop,4,W3,1,924,924,0.046200000000000005
range_pop,4,W3,1,668,668,0.033400000000000006
range_pop,4,W3,1,1831,1831,0.09155
range_pop,4,W3,1,846,846,0.042300000000000004
range_pop,4,W3,1,1223,1223,0.06115000000000001
range_pop,4,W3,1,1126,1126,0.056299999999999996
range_pop,4,W3,1,1479,1479,0.07395
range_pop,4,W3,1,1117,1117,0.055850000000000004
range_pop,4,W3,1,927,927,0.04635
range_pop,4,W3,1,1987,1987,0.09935000000000001
range_pop,4,W3,1,1920,1920,0.096
range_pop,4,W3,1,555,555,0.027750000000000004
range_pop,4,W3,1,802,802,0.040100000000000004
range_pop,4,W3,1,1267,1267,0.06335
range_pop,4,W3,1,786,786,0.0393
range_pop,4,W3,1,1265,1265,0.06325
range_pop,4,W3,1,1070,1070,0.053500000000000006
range_pop,4,W3,1,718,718,0.0359
range_pop,4,W3,1,784,784,0.039200000000000006
range_pop,4,W3,1,840,840,0.042
range_pop,4,W3,1,1038,1038,0.0519
range_pop,4,W3,1,2666,2666,0.1333
range_pop,4,W3,1,1386,1386,0.0693
range_pop,4,W3,1,1573,1573,0.07865
range_pop,4,W3,1,773,773,0.038650000000000004
range_pop,4,W3,1,1012,1012,0.050600000000000006
range_pop,4,W3,1,1063,1063,0.05315
range_pop,4,W3,1,1236,1236,0.0618
range_pop,4,W3,1,552,552,0.027600000000000003
range_pop,4,W3,1,721,721,0.03605
range_pop,4,W3,1,995,995,0.04975
range_pop,4,W3,1,1027,1027,0.05135
range_pop,4,W3,1,550,550,0.027500000000000004
range_pop,4,W3,1,1611,1611,0.08055000000000001
range_pop,4,W3,1,1277,1277,0.06385
range_pop,4,W3,1,489,489,0.02445
