strategy,P,workload,partitions_touched,rows_scanned,rows_matched,latency_ms
range_pop,4,W1,3,7,7,4.00035
range_pop,4,W1,1,7,7,0.00035000000000000005
range_pop,4,W1,4,10,10,6.0005
range_pop,4,W1,1,7,7,0.00035000000000000005
range_pop,4,W1,1,6,6,0.00030000000000000003
range_pop,4,W1,1,19,19,0.00095
range_pop,4,W1,4,14,14,6.0007
range_pop,4,W1,1,18,18,0.0009
range_pop,4,W1,1,5,5,0.00025
range_pop,4,W1,2,6,6,2.0003
range_pop,4,W1,1,11,11,0.00055
range_pop,4,W1,1,8,8,0.0004
range_pop,4,W1,2,12,12,2.0006
range_pop,4,W1,2,16,16,2.0008
range_pop,4,W1,1,8,8,0.0004
range_pop,4,W1,2,5,5,2.00025
range_pop,4,W1,3,5,5,4.00025
range_pop,4,W1,1,8,8,0.0004
range_pop,4,W1,1,18,18,0.0009
range_pop,4,W1,1,5,5,0.00025
range_pop,4,W1,4,45,45,6.00225
range_pop,4,W1,1,18,18,0.0009
range_pop,4,W1,1,7,7,0.00035000000000000005
range_pop,4,W1,1,19,19,0.00095
range_pop,4,W1,1,17,17,0.0008500000000000001
range_pop,4,W1,1,5,5,0.00025
range_pop,4,W1,3,6,6,4.0003
range_pop,4,W1,1,8,8,0.0004
range_pop,4,W1,2,11,11,2.00055
range_pop,4,W1,2,12,12,2.0006
range_pop,4,W1,1,8,8,0.0004
range_pop,4,W1,4,5,5,6.00025
range_pop,4,W1,1,6,6,0.00030000000000000003
range_pop,4,W1,1,6,6,0.00030000000000000003
range_pop,4,W1,2,6,6,2.0003
range_pop,4,W1,1,7,7,0.00035000000000000005
range_pop,4,W1,4,26,26,6.0013
range_pop,4,W1,1,13,13,0.00065
range_pop,4,W1,1,6,6,0.00030000000000000003
range_pop,4,W1,3,8,8,4.0004
range_pop,4,W1,1,6,6,0.00030000000000000003
range_pop,4,W1,3,8,8,4.0004
range_pop,4,W1,3,5,5,4.00025
range_pop,4,W1,2,11,11,2.00055
range_pop,4,W1,1,9,9,0.00045
range_pop,4,W1,1,13,13,0.00065
range_pop,4,W1,3,22,22,4.0011
range_pop,4,W1,2,18,18,2.0009
range_pop,4,W1,1,5,5,0.00025
range_pop,4,W1,1,5,5,0.00025
range_pop,4,W1,2,10,10,2.0005
range_pop,4,W1,1,9,9,0.00045
range_pop,4,W1,1,5,5,0.00025
range_pop,4,W1,2,7,7,2.00035
range_pop,4,W1,2,10,10,2.0005
range_pop,4,W1,1,9,9,0.00045
range_pop,4,W1,1,13,13,0.00065
range_pop,4,W1,2,7,7,2.00035
range_pop,4,W1,1,5,5,0.00025
range_pop,4,W1,3,11,11,4.00055
range_pop,4,W1,2,16,16,2.0008
range_pop,4,W1,1,6,6,0.00030000000000000003
range_pop,4,W1,1,6,6,0.00030000000000000003
range_pop,4,W1,2,13,13,2.00065
range_pop,4,W1,1,17,17,0.0008500000000000001
range_pop,4,W1,1,6,6,0.00030000000000000003
range_pop,4,W1,3,10,10,4.0005
range_pop,4,W1,2,7,7,2.00035
range_pop,4,W1,1,5,5,0.00025
range_pop,4,W1,1,9,9,0.00045
range_pop,4,W1,1,6,6,0.00030000000000000003
range_pop,4,W1,2,5,5,2.00025
range_pop,4,W1,2,7,7,2.00035
range_pop,4,W1,1,6,6,0.00030000000000000003
range_pop,4,W1,1,8,8,0.0004
range_pop,4,W1,1,5,5,0.00025
range_pop,4,W1,1,6,6,0.00030000000000000003
range_pop,4,W1,4,6,6,6.0003
range_pop,4,W1,2,5,5,2.00025
range_pop,4,W1,1,9,9,0.00045
range_pop,4,W1,1,7,7,0.00035000000000000005
range_pop,4,W1,2,8,8,2.0004
range_pop,4,W1,2,20,20,2.001
range_pop,4,W1,1,18,18,0.0009
range_pop,4,W1,2,7,7,2.00035
range_pop,4,W1,1,13,13,0.00065
range_pop,4,W1,2,26,26,2.0013
range_pop,4,W1,1,13,13,0.00065
range_pop,4,W1,4,7,7,6.00035
range_pop,4,W1,1,13,13,0.00065
range_pop,4,W1,1,6,6,0.00030000000000000003
range_pop,4,W1,4,42,42,6.0021
range_pop,4,W1,1,6,6,0.00030000000000000003
range_pop,4,W1,2,6,6,2.0003
range_pop,4,W1,1,5,5,0.00025
range_pop,4,W1,1,10,10,0.0005
range_pop,4,W1,3,14,14,4.0007
range_pop,4,W1,1,19,19,0.00095
range_pop,4,W1,1,11,11,0.00055
range_pop,4,W1,2,7,7,2.00035
range_pop,4,W1,2,7,7,2.00035
range_pop,4,W1,3,15,15,4.00075
range_pop,4,W1,1,5,5,0.00025
range_pop,4,W1,1,5,5,0.00025
range_pop,4,W1,4,7,7,6.00035
range_pop,4,W1,1,10,10,0.0005
range_pop,4,W1,2,6,6,2.0003
range_pop,4,W1,3,28,28,4.0014
range_pop,4,W1,3,15,15,4.00075
range_pop,4,W1,3,5,5,4.00025
range_pop,4,W1,2,5,5,2.00025
range_pop,4,W1,4,20,20,6.001
range_pop,4,W1,3,6,6,4.0003
range_pop,4,W1,1,10,10,0.0005
range_pop,4,W1,1,31,31,0.0015500000000000002
range_pop,4,W1,1,9,9,0.00045
range_pop,4,W1,2,9,9,2.00045
range_pop,4,W1,2,10,10,2.0005
range_pop,4,W1,3,5,5,4.00025
range_pop,4,W1,2,15,15,2.00075
range_pop,4,W1,4,11,11,6.00055
range_pop,4,W1,1,8,8,0.0004
range_pop,4,W1,1,9,9,0.00045
range_pop,4,W1,2,7,7,2.00035
range_pop,4,W1,2,6,6,2.0003
range_pop,4,W1,4,14,14,6.0007
range_pop,4,W1,1,16,16,0.0008
range_pop,4,W1,1,5,5,0.00025
range_pop,4,W1,3,44,44,4.0022
range_pop,4,W1,1,5,5,0.00025
range_pop,4,W1,1,12,12,0.0006000000000000001
range_pop,4,W1,3,19,19,4.00095
range_pop,4,W1,1,11,11,0.00055
range_pop,4,W1,2,36,36,2.0018
range_pop,4,W1,1,5,5,0.00025
range_pop,4,W1,1,9,9,0.00045
range_pop,4,W1,1,5,5,0.00025
range_pop,4,W1,1,13,13,0.00065
range_pop,4,W1,1,7,7,0.00035000000000000005
range_pop,4,W1,3,20,20,4.001
range_pop,4,W1,2,5,5,2.00025
range_pop,4,W1,1,11,11,0.00055
range_pop,4,W1,1,6,6,0.00030000000000000003
range_pop,4,W1,1,13,13,0.00065
range_pop,4,W1,1,6,6,0.00030000000000000003
range_pop,4,W1,1,5,5,0.00025
range_pop,4,W1,4,15,15,6.00075
range_pop,4,W1,2,14,14,2.0007
range_pop,4,W1,3,14,14,4.0007
range_pop,4,W1,1,9,9,0.00045
range_pop,4,W1,1,10,10,0.0005
range_pop,4,W1,1,7,7,0.00035000000000000005
range_pop,4,W1,1,8,8,0.0004
range_pop,4,W1,1,5,5,0.00025
range_pop,4,W1,4,10,10,6.0005
range_pop,4,W1,1,8,8,0.0004
range_pop,4,W1,1,18,18,0.0009
range_pop,4,W1,2,15,15,2.00075
range_pop,4,W1,1,6,6,0.00030000000000000003
range_pop,4,W1,1,6,6,0.00030000000000000003
range_pop,4,W1,1,8,8,0.0004
range_pop,4,W1,1,7,7,0.00035000000000000005
range_pop,4,W1,2,23,23,2.00115
range_pop,4,W1,1,5,5,0.00025
range_pop,4,W1,2,6,6,2.0003
range_pop,4,W1,1,9,9,0.00045
range_pop,4,W1,1,10,10,0.0005
range_pop,4,W1,1,8,8,0.0004
range_pop,4,W1,1,6,6,0.00030000000000000003
